temp,dewPoint,precipType,cloudCover,summary,apparentTemp,pressure,windSpeed,visibility,datetime,windBearing,humidity,icon
12.06 , 10.9 , rain , 0.8 , Mostly Cloudy , 12.06 , 1008.1 , 13.2 , 7.99 , 2012-01-01 00:00:00 , 229 , 0.93 , partly-cloudy-night
12.26 , 10.97 , rain , 0.73 , Mostly Cloudy , 12.26 , 1007.95 , 11.73 , 7.12 , 2012-01-01 02:00:00 , 228 , 0.92 , partly-cloudy-night
11.94 , 10.66 , rain , 0.55 , Partly Cloudy , 11.94 , 1007.61 , 11 , 8.64 , 2012-01-01 04:00:00 , 226 , 0.92 , partly-cloudy-night
11.83 , 10.29 , rain , 0.36 , Partly Cloudy , 11.83 , 1007.47 , 11.31 , 8.64 , 2012-01-01 06:00:00 , 223 , 0.9 , partly-cloudy-night
11.73 , 9.58 , rain , 0.58 , Partly Cloudy , 11.73 , 1007.34 , 10.89 , 8.17 , 2012-01-01 08:00:00 , 216 , 0.87 , partly-cloudy-night
11.93 , 9.81 , rain , 0.72 , Mostly Cloudy , 11.93 , 1006.82 , 12.65 , 7.2 , 2012-01-01 10:00:00 , 216 , 0.87 , partly-cloudy-day
12.45 , 9.28 , rain , 0.64 , Mostly Cloudy , 12.45 , 1005.37 , 13.46 , 8.29 , 2012-01-01 12:00:00 , 219 , 0.81 , partly-cloudy-day
11.28 , 9.51 , rain , 0.65 , Mostly Cloudy , 11.28 , 1002.72 , 9.7 , 5.28 , 2012-01-01 14:00:00 , 216 , 0.89 , partly-cloudy-day
9.97 , 9.48 , rain , 0.65 , Mostly Cloudy , 8.29 , 1000.94 , 7.48 , 4.86 , 2012-01-01 16:00:00 , 227 , 0.97 , partly-cloudy-night
9.92 , 8.71 , rain , 0.39 , Partly Cloudy , 7.76 , 1000.74 , 9.68 , 7.87 , 2012-01-01 18:00:00 , 235 , 0.92 , partly-cloudy-night
9.39 , 8.1 , rain , 0.41 , Partly Cloudy , 6.81 , 1001.44 , 11.36 , 7.91 , 2012-01-01 20:00:00 , 239 , 0.92 , partly-cloudy-night
8.76 , 6.68 , rain , 0.52 , Partly Cloudy , 5.87 , 1002.76 , 12.16 , 8.3 , 2012-01-01 22:00:00 , 247 , 0.87 , partly-cloudy-night
6.99 , 5.09 , rain , 0 , Clear , 4.08 , 1003.4 , 10 , 8.15 , 2012-01-02 00:00:00 , 240 , 0.88 , clear-night
6.63 , 4.95 , rain , 0 , Clear , 4.25 , 1004.06 , 7.47 , 8.27 , 2012-01-02 02:00:00 , 242 , 0.89 , clear-night
5.63 , 3.86 , rain , 0 , Clear , 3.17 , 1004.36 , 7 , 8.06 , 2012-01-02 04:00:00 , 230 , 0.88 , clear-night
5.14 , 3.3 , rain , 0.13 , Clear , 1.84 , 1004.99 , 9.74 , 8.13 , 2012-01-02 06:00:00 , 235 , 0.88 , clear-night
5.01 , 2.92 , rain , 0.31 , Partly Cloudy , 1.41 , 1005.84 , 10.88 , 8.32 , 2012-01-02 08:00:00 , 236 , 0.86 , partly-cloudy-night
5.36 , 2.36 , rain , 0.31 , Partly Cloudy , 1.34 , 1008.03 , 13.48 , 8.18 , 2012-01-02 10:00:00 , 251 , 0.81 , partly-cloudy-day
7.09 , 2.21 , rain , 0.31 , Partly Cloudy , 3.4 , 1008.88 , 14.31 , 8.29 , 2012-01-02 12:00:00 , 246 , 0.71 , partly-cloudy-day
7.46 , 1.38 , rain , 0.31 , Partly Cloudy , 3.68 , 1009.96 , 15.57 , 8.29 , 2012-01-02 14:00:00 , 249 , 0.65 , partly-cloudy-day
5.95 , 0.99 , rain , 0.38 , Partly Cloudy , 2.36 , 1011.29 , 12.01 , 8.06 , 2012-01-02 16:00:00 , 241 , 0.7 , partly-cloudy-night
5.03 , 1.57 , rain , 0.31 , Partly Cloudy , 1.46 , 1012.53 , 10.8 , 7.84 , 2012-01-02 18:00:00 , 226 , 0.78 , partly-cloudy-night
5.04 , 1.64 , rain , 0 , Clear , 1.41 , 1013.12 , 11.11 , 7.96 , 2012-01-02 20:00:00 , 222 , 0.79 , clear-night
5.01 , 2.35 , rain , 0.14 , Clear , 1.61 , 1012.97 , 10.01 , 8.02 , 2012-01-02 22:00:00 , 217 , 0.83 , clear-night
6.18 , 3.76 , rain , 0.21 , Clear , 2.82 , 1011.22 , 11.17 , 8.24 , 2012-01-03 00:00:00 , 210 , 0.84 , clear-night
7.96 , 5.94 , rain , 0.75 , Mostly Cloudy , 4.29 , 1008.75 , 15.81 , 7.18 , 2012-01-03 02:00:00 , 204 , 0.87 , partly-cloudy-night
8.81 , 7.38 , rain , 0.75 , Breezy and Mostly Cloudy , 4.6 , 1004.12 , 22.62 , 5.6 , 2012-01-03 04:00:00 , 201 , 0.91 , wind
10.93 , 9.19 , rain , 0.8 , Windy and Mostly Cloudy , 10.93 , 1000.69 , 26.06 , 5.57 , 2012-01-03 06:00:00 , 222 , 0.89 , wind
11.41 , 9.63 , rain , 0.78 , Windy and Mostly Cloudy , 11.41 , 998.85 , 27.3 , 4.81 , 2012-01-03 08:00:00 , 223 , 0.89 , wind
12 , 10.26 , rain , 0.78 , Windy and Mostly Cloudy , 12 , 996.87 , 27.14 , 5.11 , 2012-01-03 10:00:00 , 223 , 0.89 , wind
10.33 , 8.79 , rain , 0.78 , Breezy and Mostly Cloudy , 10.33 , 996.39 , 22.67 , 4.33 , 2012-01-03 12:00:00 , 271 , 0.9 , wind
8.57 , 5.61 , rain , 0.64 , Breezy and Mostly Cloudy , 4.56 , 998.8 , 20.04 , 8.29 , 2012-01-03 14:00:00 , 249 , 0.82 , wind
8.12 , 3.61 , rain , 0.36 , Breezy and Partly Cloudy , 3.84 , 1002.48 , 21.24 , 8.01 , 2012-01-03 16:00:00 , 262 , 0.73 , wind
6.8 , 0.97 , rain , 0.31 , Partly Cloudy , 2.44 , 1005.72 , 18.43 , 7.84 , 2012-01-03 18:00:00 , 262 , 0.66 , partly-cloudy-night
6.23 , 1.13 , rain , 0 , Clear , 2.13 , 1007.75 , 15.43 , 7.53 , 2012-01-03 20:00:00 , 248 , 0.7 , clear-night
5.91 , 1.44 , rain , 0.14 , Clear , 1.66 , 1008.18 , 15.83 , 8.3 , 2012-01-03 22:00:00 , 240 , 0.73 , clear-night
6.06 , 2.13 , rain , 0.35 , Breezy and Partly Cloudy , 1.46 , 1009 , 18.52 , 8.4 , 2012-01-04 00:00:00 , 256 , 0.76 , wind
5.85 , 0.07 , rain , 0.09 , Breezy , 1.22 , 1011.76 , 18.31 , 8.09 , 2012-01-04 02:00:00 , 273 , 0.66 , wind
